Deity,Temple Name,Moolavar,Urchavar,Amman / Thayar,Thala Virutcham,Theertham,Agamam / Pooja,Old year,Historical Name,City,District,State,Festival,  Temple's Speciality,Opening Time,Address,Phone Number
274 Sivalayam,sri Kutram Poruttha Naathar temple,Kutram Poruttha Naathar(Aparaathakshameswarar),NA,Kolvalai Naayaki (Vichithra Valayaambigai),Kodi Mullai (Creeper Jasmine),"Suriya Pushkarini, Potraamarai","Kaarana, Kaamiya Aagamam",1000 2000 years old,"Karuppariyalur, Karmanaasapuram",Thalaignaayiru,Nagapattinam,Tamil Nadu,"On the Thirukkaarthigai and Thiruvaathirai days, the Lord goes on procession. All festivals related to Lord Siva are celebrated in a grand manner.",The Lord of this place appears as swayambu murthi.,The temple is open from 6.00 a.m. to 12.00 p.m. and again from 5.00 p.m. to 8.00 p.m.,"Arulmigu Kutram Poruttha Naathar Tirukkoil, Thalaignaayiru – 614 712; (Thiruk karuppariyalur) Nagapatinam District.",+91  4364   258 833
274 Sivalayam,sri Sankaaranyeswarar temple,Sankaaranyeswarar,Somaskandar,Soundara Nayaki,Purasu,Sangu Theertham,Kaarana Aagamam,2000 3000 years old,Thiruththalaichangaadu,Thalaichangaadu,Nagapattinam,Tamil Nadu,"Five days Vaikaasi Visaakam festival is celebrated in a grand manner. During Kantha Sashti, Lakshaarchanai is performed for one day.","The Lord of this place stands at three feet height as a swayambu moorthy. Pouring gingely oil on the icon of the Prime Deity Sankaaranyeswarar and look at the lamp light, we can see the hair roots in the lingam.",The temple is open from 6.00 am to 12.00 noon and from 5.00 pm to 7.00 pm.,"Arulmigu Thalaichangaadu Sankaaranyeswarar Tirukkoil, Thalaichangaadu – Aakkoor Post – 609 301, Tarangampadi Taluk, Nagapattinam district.",+91  4364   280 757
274 Sivalayam,sri Vedapureeswarar temple,Vedapureeswarar,NA,Soundaraambigai,"Vilvam, Sandal",Veda Theertham,NA,1000 2000 years old,Thiruvazhundur,Therazhundur,Nagapattinam,Tamil Nadu,Flag is hoisted 10 days before Chitra Pournami day and ends with Car festival.,"On the 23rd, 24th and 25th days of Maasi month from 5.55 pm to 6.05 pm ‘Sooriya Pooja’ (Sun Worship) is performed. This is a Siva temple facing west. This is the birth place of the poet Kavichakravarthi Kambar.",The temple is open from 6.00 am to 11.30 am and from 5.00pm to 8.30 pm.,"Arulmigu Vedapureeswarar Tirukkoil, Therazhundur Post – 609 808; Mayiladuthurai Taluk, Nagapattinam District.",+91  4364 237 650.
274 Sivalayam,sri Velladainaatha Swami temple,Velladainathar,Somaskandar,Kavianganni,Vilwa,Paalkinaru,Sivagama,1000 2000 years old,Tirukaruhavur,Tirukaruhavur,Nagapattinam,Tamil Nadu,New Moon day in the month of Thai (January February) and Full Moon day in the month of Chithirai (April May) are the festivals grandly celebrated in the temple.,"Velladainathar graces as a Banalinga on a square Peeta in the sanctum sanctorum. River Ganga sprang in the well here on the New Moon day in the Thai month (January February). Based on this story, the holy spring is opened for the use of devotees on this day only and will be closed during the rest of the year",The temple is open from 6.00 a.m. to 10.30 a.m. and 5.00 p.m. to 7.30 p.m.,"Sri Velladainathaswami Temple, Pillayar Koil Street, Tirukuruhavur, Vadakal post, Sirkali Taluk, Nagapattinam dist.",+91  9245 612 705.
274 Sivalayam,sri Brahmapureeswarar temple,"Brahmapureeswarar, Kolilinaathar",NA,"Poonkuzhal Ammai, Brahma Kujalambigai",Thethaa tree,Brahma Theertham,NA,1000 2000 years old,NA,Tirukkuvalai,Nagapattinam,Tamil Nadu,NA,NA,NA,"Arulmigu Brahmapureeswarar Kolili Naatheswarar Tirukkoil, Tirukkuvalai   610 204, Nagapattinam District.","+91  4366   329 268, 245 412."
Other Temples,sri Veerabhadirar temple,Veerabhadirar,NA,NA,NA,NA,NA,1000 2000 years old,NA,Anumanthapuram,Kanchipuram,Tamil Nadu,NA,The deity of this place graces as swayambu moorthi. This is the biggest Veerbhadirar temple in Tamilnadu.,The temple is open from 6.00 am to 9.00 pm in the night.,"Arulmigu Veerabhadirar Tirukkoil, Anumanthapuram, Near Singaperumal Koil, Kanchipuram District.",+91 44 2746 4325
Perumal,sri Rajagopalaswamy temple,Rajagopalaswamy,Rajagopalar,Sengamalavalli,NA,NA,Vaikaanasam,500 years old,Chaturvedi Mangalam,Manimangalam,Kanchipuram,Tamil Nadu,"Vaikunta Ekadasi, Purattasi Saturdays","Generally, Perumal will have Chakra in the right hand and the Conch in the left. But, in this holy place, it is reversed and the Lord graces us with the conch in the right and the Chakra in the left.",The temple is open in the morning from 6.30 to 10.30 and in the evening from 3.30 to 7.00.,"Arulmigu Rajagopalaswamy Tirukkoil, Manimangalam – 601 301, Kanchipuram District.",+91  98413 63991.
sivan,sri Dharmeswarar temple,Dharmeswarar,NA,Dharmeswarar,Sarakkonrai (Indian laburnum),Sivapushkarini,Sivaagamam,500 1000 years old,Vedamangalam,Manimangalam,Kanchipuram,Tamil Nadu,"Aadi Pooram, Navarathiri, Sivarathiri",The Nandi statue opposite to the sanctum of Lord Siva is sculpted artistically and installed. A strike on it releases the sound of bronze.,The temple is open from 8.00 am to 10.00 am and from 5.00 pm to night 9’o clock.,"Arulmigu Dharmeswaraswamy Tirukkoil, Manimangalam – 601 301. Kanchipuram District.","+91  44   2717 8157, 98400 24594"
sivan,sri Thazhuva Kuzhaindeeswarar temple,Thazhuva Kuzhaindeeswarar,Somaskandar,Kamakshi,Mango,NA,Shivagama,500 years old,NA,Mel Padappai,Kanchipuram,Tamil Nadu,"Vaikasi Tirugnana Sambandar Gurupuja in May June; Aadi Pooram in July August; Navarathri in September October; Mahashivrathri in February March, Tirukarthikai in November December and Wedding Festival in Panguni Uthiram in March April are the festivals celebrated in the temple.",The rays of Sun fall on the presiding deity in the sanctum sanctorum during the first seven days of September.,The temple is open from 6.00 a.m. to 10.30 a.m. and from 4.30 p.m. to 8.30 p.m.,"Sri Thazhuva Kozhundu Easwarar Temple, Padappai 601 301, Kancheepuram district.",+91  99414 37183.
108 Divya Desam,sri Nilathunda Perumal temple,Nilathunda Perumal,NA,Ner Uruvilla Valli,NA,Chandra Pushkarini,NA,1000 2000 years old,Nilathingal Thundathan,Nilathingal Thundathan,Kanchipuram,Tamil Nadu,"Lord bearing the light of moon, every poornima day – full moon day is a festival day in the temple. Purattasi Saturdays of September October and Vaikunda Ekadasi in December January are other festivals observed in the temple.","Housed in a Shiva Temple, this Vishnu temple is one among the celebrated 108 Divya Desas of Lord Vishnu. The one significant and rare feature in the temple is, Mother Mahalakshmi graces from the naval chord Lotus of Lord which, according to scriptures belongs to Lord Brahmma the Creator. As Mother Mahalakshmi grants Her blessings to the devotees with the attribute of Lord Brahamma, it is believed that this darshan will change the adverse destinies of the devotee.",The temple is praised in the Mangalasasanam hymns of Saint Tirumangai Azhwar.,"Sri Nilathunda Perumal temple, Kancheepuram – 631 502.","+91  44   272 22084,"
Perumal,sri Pachai Vanna Perumal temple,Pachai Vannar,NA,Maragahavalli,NA,Chakkara Thertham,NA,500 years old,NA,Kancheepuram,Kanchipuram,Tamil Nadu,Vaikasi Viszkam in May June; Aani Thirumanjanam in June July and Vaikunda Ekadasi in December January are the festivals celebrated in the temple.,Lord Maha Vishnu graces in the temple shining emerald green in a standing form. Mother has the attributes of three Mothers.,The temple is open from 8.00 a.m. to 11.00 a.m. and from 4.00 p.m. to 7.00 p.m.,"Sri Pachai Vanna Perumal Temple, Kancheepuram 631 502.",+91  44   2722 9540
108 Divya Desam,sri Pandava Dhootha Perumal temple,Pandava Dhootha Perumal,NA,"Satyabama, Rukmini",NA,Matsya Theertham,NA,1000 2000 years old,Tirupadagam,Tirupadagam,Kanchipuram,Tamil Nadu,Sri Krishna Jayanthi in August September; Deepavali in October November; Mukkotti Ekadasi; Panguni Uthiram in March April; Sattrumarai Utsav for Arulala Perumal Emperumanar on Karthikai Bharani star day in November December are the festivals celebrated in the temple.,Lord Krishna in the sanctum sanctorum is 25 feet tall – tallest. No temple in India has so tall a Perumal in a sitting form.,The temple is open from 7.00 a.m. to 11.00 a.m. and from 4.00 p.m. to 7.30 p.m.,"Tirupadagam Sri Pandava Dhoodha Perumal temple, Kancheepuram – 631 502.",+91  44 2723 1899
274 Sivalayam,sri Ratnagiriswarar temple,Ratnagiriswarar – Manicka Vannar,NA,Vanduvar Kuzhali,Vazhai (Plantain)   Marugal,Lakshmi – Manicka Theertham,NA,1000 2000 years old,Marugal,Marugal,Nagapattinam,Tamil Nadu,"The most important festival of the temple is the 10 day Chithirai Brahmmotsavam with procession of Lord twice each day in the morning and evening, wedding festival of a Chetty youth and a Chetty girl on the seventh day and theerthavari on the final 10th day in April May; the second important festival being the Varalakshmi puja when Lord Varadaraja Perumal and Mother Mahalakshmi come in procession on the Kamal Lotus vahan, offering Theertham Prasad in Avani August September; Aipasi Skanda Sashti in October November; Vaikasi Visakam in May June; Aani Tirumanjanam in June July are the festivals grandly celebrated in the temple. Every first day of the Tamil month is a festival day. The devotee crowd is huge these days. There will be special pujas on Deepavali in October November, Pongal Makar Sankranti in January and both Tamil and English New Year days.",Lord Shiva in the temple is a swayambumurthy.,The temple is open from 6.00 a.m. to 12.00 a.m. and from 5.00 p.m. to 9.00 p.m.,"Sri Ratnagiriswarar Temple, Tirumarugal – 609 702. Nagapattinam district.",+91 4366 270 823
274 Sivalayam,sri Tiru Payatrunathar temple,Tiru Payatrunathar (Mutkapureeswarar),NA,Kavianganni – Nethrambal,Silandhi tree,Karuna theertham,NA,1000 2000 years old,Tirupayattrur,Tiru Payathangudi,Nagapattinam,Tamil Nadu,Chitra Poornima full moon day in April May; Fridays in Aadi in July August and in Thai covering January February and Maha Shivrathri in February March are the festivals celebrated in the temple.,Lord Shiva in the temple is a Swayambumurthy.,The temple is open from 8.00 a.m. to 11.00 a.m. and from 6.00 p.m. to 8.00 p.m.,"Sri Tirupayatrunathar – Mukthapureeswarar Temple, Tirupayathangudi 610 101, Nagapattinam district.","+91  4366   272 423, 98658 44677"
274 Sivalayam,sri Kalyana Sundareswarar temple,"Kalyana Sundareswarar, Manavaleswarar",NA,Parimala Sugantha Nayaki,NA,Mangala theertham,NA,1000 2000 years old,Tiru Velvikudi,Velvikudi,Nagapattinam,Tamil Nadu,Maha Shivrathri in February March and Panguni Uthiram in March April are the festivals celebrated in the temple.,Lord Shiva in the temple is a swayambumurthy facing east blessing devotees.,The temple is open from 6.00 a.m. to 12.00 a.m. and from 4.00 p.m. to 8.00 p.m.,"Sri Kalyana Sundareswarar Temple, Tiruvelvikudi, Kuthalam Post 609 801, Nagapattinam district. Phone: +91 4364 235 462.",+91  4364 235 462.
274 Sivalayam,sri Vaigalnathar temple,Vaigalnathar (Shenbaga Aranyeswarar),NA,Kombial Kothai (Shaka Komalavalli),Shenbagam,Shenbaga theertham,NA,1000 2000 years old,Vaigal Madakoil,Tiruvaigal,Nagapattinam,Tamil Nadu,Maha Shivrathri in February March; Purattasi Navarathri in September October; Aipasi Annabishekam in October November; and all important festivals dedicated to Lord Shiva are celebrated in the temple.,Lord Shiva in the temple is a swayambumurthy.,The temple is open from 7.00 a.m. to 12.00 a.m. and from 3.00 p.m. to 8.00 p.m.,"Sri Vaigalnathar Temple, Vaigal Madakoil, Aduthurai 612 101, Nagapattinam district.",+91  435   246 5616
274 Sivalayam,sri Manathunai Nathar temple,Manathunai Nathar (Hrudaya Kamala Nathar),NA,Maazhai Onkanni (Madhyayadhakshi),Punnai,Chakkara theertham,NA,1000 2000 years old,Valivalam,Valivalam,Nagapattinam,Tamil Nadu,Chithirai Brahmmotsavam in April May; Thai Poosam in January February; Maha Shivrathri in February March; Panguni Uthiram in March April; Vaikasi Visakam in May June; Aavani Sundays in August September; Purattasi Navarathri in September October; Aipasi Annabishekam in October November; Tirukarthikai in November December and Margazhi Tiruvadhirai in December January are the festivals celebrated in the temple.,Lord in the temple is a swayambumurthy.,The temple is open from 6.00 a.m. to 12.00 a.m. and from 4.00 p.m. to 8.30 p.m.,"Sri Manathunai Nathar Hrudaya Kamala Natheswarar Temple, Valivalam 610 207, Tirukuvalai Taluk, Nagapattinam district.",+91  4366   205 636
sivan,sri Shivanthiappar temple,Shivanthiappar,NA,Vazhi Adimai Konda Nayaki,Vilwa,Well water,NA,500 years old,NA,Vikramasingapuram,Tirunelveli,Tamil Nadu,Purattasi Brahmmotsavam in September October and Aipasi Wedding festival in October November are the festivals celebrated in the temple.,"At the entrance of Lord Shiva shrine, Adhikara Nandhi and Bhairava appear facing each other. Arumuga Nayinar (Lord Muruga) graces from a separate shrine. His consrts Valli and Deivanai are facing each other. Mother Durga is in the midst of Saptha Madhas. Durga is the prominent deity in the temple. Those facing delays in marriage, light lime cup lamps, offer kumkum archana with Sarkarai pongal sweet pudding for speeding up proposals.",The temple is open from 6.00 a.m. to 9.00 p.m. and from 5.00 p.m. to 8.30 p.m.,"Sri Shivanthiappar Temple, Vikramasingapuram 627 425, Tirunelveli district.",+91  4634   223 457.
274 Sivalayam,sri Marundeesar temple,Marundeesar – Krupapureeswarar,NA,"Gnanambikai, Chittridai Nayaki",Marudam,Chittridai theertham This a well in Mother’s,NA,1000 2000 years old,Idayaaru,T. Idayaaru,Viluppuram,Tamil Nadu,The most important festival of the temple is the Thai Aattru Thiruvizha in January February.,"Lord Shiva, a swayambu Linga is facing west. Surya Puja Sun worship is performed in the temple on Masi 15 and 16 (February March) from 5.00 p.m. to 5.15 p.m. as the rays of Sun fall on the Lord.",The temple is open from 6.00 a.m. to 11.00 a.m. and from 5.00 p.m. to 8.00 p.m.,"Sri Marundeesar (Krupapureeswarar) Temple, T. Idayaru 609 209. Tirukovilur Taluk, Villupuram district.","+91 4146 216 045, 206 515, 94424 23919, 98847 77078"
274 Sivalayam,sri Chandramouleeswarar temple,Chandramouleeswarar,NA,Amirthambikai,Vilwa,Surya Pushkarini,NA,1000 2000 years old,Vakrapuri,Tiruvakkarai,Viluppuram,Tamil Nadu,"One day Chitra Poornima Vakrakaliamman procession in April May; Tamil Near Day falling almost on April 14 with Chandra Mouleswarar float festival; Kanum Pongal on the next day of Makara Sankranti falling almost on January 15; Aadi Kruthikai in July August; Thai Kruthikai in January February; Vinayaka Chaturthi in August September; Vijayadasami in September October; Karthikai Deepam in November December are the festivals celebrated in the temple when special pujas are dedicated to Mother Vakrakalai Amman. Devotee crowd is huge on Tuesdays, Sundays, Ashtami and Navami days. Though a Shiva temple, Mother Vakrakali is all prominent in the shrine.",The presiding deity graces as a Mumukha Linga three faced Linga. This is a very rare form. The Atma Linga is on the western side of Kali Shrine also known as Kanda Lingam worshipped by demon Vakrasura. This Linga is very cool during summer. Water pearls stay on the Linga during monsoon.,The temple is open from 6.00 a.m. to 12.00 a.m. and from 5.00 p.m. to 8.00 p.m.,"Sri Chandramouleeswarar Temple, Tiruvakkarai Post 604 304, Villupuram district.","+91   413 2680870 , 2688949, 94435 36652"
Murugan,sri Kumarakotta murugan temple,Murugan,NA,NA,NA,NA,NA,1000 2000 years old,NA,Kanchipuram,Kanchipuram,Tamil Nadu,NA,NA,NA,NA,+91  44   2722 2049
108 Divya Desam,sri Pavalavannaperumal temple,Pavalavannar,NA,NA,NA,NA,NA,1000 2000 years old,NA,Thirupavalavannam,Kanchipuram,Tamil Nadu,NA,NA,NA,NA,+91  98423 51931.
108 Divya Desam,sri Son vannam seitha perumal temple,"Yadhothakari Perumal , Sonna vannam seitha",NA,NA,NA,NA,NA,500 1000 years old,NA,Thiruvekka,Kanchipuram,Tamil Nadu,NA,NA,NA,NA,+91 44  37209752
sivan,sri Thirisoolanathar temple,Thirisoolanathar (thirichuramudayar),NA,NA,NA,NA,NA,500 1000 years old,NA,Thirisoolam,Kanchipuram,Tamil Nadu,NA,NA,NA,NA,"+91  44   2264 2600, 9444914713"
sivan,sri Chandrachoodeshwarar temple,Chandrachoodeshwarar,NA,NA,NA,NA,NA,500 1000 years old,NA,Hosur,Krishnagiri,Tamil Nadu,NA,NA,NA,NA,+91  4344292 870
Perumal,sri Rajagopalaswami temple,Vasudevaperumal,Rajagopalaswami,"Sengamalavalli, Sridevi, Bhoodevi",NA,NA,Pancharathram,500 1000 years old,NA,Ananthamangalam,Nagapattinam,Tamil Nadu,"All festivals related to Lord Vishnu including Hanuman Jayanthi, Vaikunda Ekadasi, all New Moon days are celebrated grandly.","Hanauaman is one absolutely free of any allegations from anyone. He is the one who completed any errand meticulously, perfectly and successfully as directed by his master. Those who worship Hanuman are protected from all planetary afflictions and evil attacks. Vettrimalai and Vadaimalai are the offerings of the devotees to this spring of energy and devotion.",The temple is open from 8.00 a.m. to 1.00 p.m. and 4.00 p.m. to 8.00 p.m,"Sri Rajagopalaswami Temple, Ananthamangalam, Nagapattinam Dist.","+91  4364   289 888, 256 221"
108 Divya Desam,sri Sowriraja Perumal temple,Neelamega Perumal,Sowriraja Perumal,Kannapura Nayaki,NA,Nitya Pushkarini,Vaikanasam,1000 2000 years old,Krishnapuram,Tirukannapuram,Nagapattinam,Tamil Nadu,"13 day Masi Magam Utsav with Theerthavari in the sea on the 10th day of Masi full moon poornima day in February March is the most important festival in the temple. The other festival is the 13 day Vaikasi Brahmmotsav on Poornima Anusha star day with Lord coming in procession remembering the wedding event of Lord with Padmini Nayaki the daughter of Vasu. The festival concludes with Theerthavari in Nitya Pushkarini. 10 day, day festival (Pagal Pathu in Tamil) begins on the second day of Amavasya new moon day in Margazhi covering December January with Lord’s procession. The night festival in the same month (Rappathu in Tamil) begins with Vaikunda Ekadasi day. As the temple is praised as Vaikunda on Earth –Bhooloka Vaikundam, as established in the words of Saint Nammazhwar, there is no special Sorgavasal as traditionally seen in Perumal Temples. First day of all Tamil months; Ekadasi the 11th day of new moon or full moon days; Chitra poornima in April May; Tiruvadipooram in July August; Navarathri in September October; Tirukarthikai in November December; Panguni Uthiram in March April; Deepavali, Makar Sankranthi; Tamil and English New Year days are also observed as festival days in the temple with special pujas to Lord.",The temple is one of the 108 Divya Desas of Perumal. There is a vibration effect in the sanctum sanctorum which is said to exist from days of yore. The Navagrahas the nine planets installed by Indira is on the wall under the tower facing west with respective zodiac signs. There is a small scar above the right eyebrow of the procession Lord.,The temple is open from 6.00 a.m. to 12.00 a.m. and from 4.30 p.m. to 8.00 p.m.,"Sri Sowriraja Perumal Temple, Tirukannapuram 609 704. Nagapattinam district.","+91  4366   270 557, 270 718, 99426   56580."
108 Divya Desam,sri Gopalakrishnan temple,"Gopalakrishnan (Rajagopalan) Bama, Rukmani",NA,NA,NA,NA,NA,1000 2000 years old,NA,Kavalam padi,Nagapattinam,Tamil Nadu,NA,NA,NA,NA,+91 4364 275 478
108 Divya Desam,sri Deivanayagar temple,Deivanayaga perumal,NA,NA,NA,NA,NA,1000 2000 years old,NA,Thiru devanar Thogai,Nagapattinam,Tamil Nadu,NA,NA,NA,NA,+91  4364 266 542.
108 Divya Desam,sri Soundararaja Perumal temple,"Neelamega perumal, Soundararaja Perumal",NA,NA,NA,NA,NA,1000 2000 years old,NA,Nagapattinam,Nagapattinam,Tamil Nadu,NA,NA,NA,NA,"+91 94422 13741, 4365   221 374"
108 Divya Desam,sri Loganathaperumal temple,"Loganathaperumal, Shyamalameni Perumal",NA,NA,NA,NA,NA,1000 2000 years old,NA,Thirukannangudi,Nagapattinam,Tamil Nadu,NA,NA,NA,NA,+91  4365 245 350
108 Divya Desam,sri Varadaraja perumal temple,"Varadaraja perumal(Gajendhra varadhan, Manikooda nayagan)",NA,NA,NA,NA,NA,1000 2000 years old,NA,Thirumanikoodam,Nagapattinam,Tamil Nadu,NA,NA,NA,NA,+91 96554 65756
108 Divya Desam,sri Badrinarayanar temple,Badrinarayanar,NA,NA,NA,NA,NA,1000 2000 years old,NA,Thiru Manimaada Kovil,Nagapattinam,Tamil Nadu,NA,NA,NA,NA,"+91  4364   256 424, 275 689, 94439 85843"
108 Divya Desam,sri   temple,NA,NA,NA,NA,NA,NA,500 1000 years old,NA,NA,Nagapattinam,Tamil Nadu,NA,NA,NA,NA,+91  4364 275 478.
274 Sivalayam,sri Vruddhapureeswarar (Pazhampathinathar) temple,Vruddhapureeswarar (Pazhampathinathar),NA,Periyanayaki,"Punnai, Chathurkalli, Magizham and Kurundam",Lakshmi and Brahmma theertham,sivakamam,1000 2000 years old,Punnaivanam,Tirupunavasal,Pudukkottai,Tamil Nadu,Festival: 11 day Vaikasi Visakam ((may June) is grandly celebrated in the temple.,Surya puja (Puja to Sun God) is performed on Vaikasi Visakam star day (May June) as the rays of Sun falls on the presiding deity.,The temple is opened from 6.00 a.m. to 11.30 a.m. and 4.00 p.m. to 7.30 p.m.,"Sri Vruddhapureeswarar (Pazhampathinathar) Temple, Tirupunavasal, Pudukoottai","+91  4371 239 212, 99652 11768"
vinayagar,sri Varasiddhi Vinayaka temple,Varasiddhi Vinayakar,Vinayakar,NA,NA,NA,NA,500 years old,NA,Kanipakkam,Chittoor,Andhra Pradesh,Vinayaka Chaturti in August September and English New Year Day are the festivals celebrated in the temple.,Lord Vinayaka is a swayambumurthy. This is one of the biggest temples. The well from where Lord Ganapathi appeared is still in existence in the temple. The water from the well is offered as Prasad to devotees.,The temple is open for Pujas from 6.00 a.m. to 1.00 p.m. and 4.00 p.m. to 8.00 p.m.,"Sri Varasiddhi Vinayakar temple, Kanipakkam, Chittoor, Andhra Pradesh","+91  8573   281 540, 281 640, 281 747."
sivan,sri Neelakandeswarar temple,Neelakandeswarar,NA,"Swayamvara Parvathi Devi, Meenakshi Amman",NA,NA,NA,3000 years old,NA,"Irugur, Ondiputhur",Coimbatore,Tamil Nadu,"Aipasi Soora Samhara festival is an important event in the temple. Thai Poosam in January February; Maha Shivrathri in February March; Panguni Uthiram in April May, Karthigai Jyoti in November December and Arudra Darshan in December January are the festivals celebrated in the temple.","Lord Muruga is facing west. The rays of Sun fall on Lord Neelakandeswara during the evenings in the months of Chithirai (April May), Purattasi (September October) and Aipasi (October November). Lord shines these days.",The temple is open during normal hours.,"Sri Neelakandeswarar, Soundaryeswarar Temple, Irugur, Ondiputhur, Coimbatore.","+91 422 2632452,94881 55164."
Perumal,sri Ranganathar temple,Ranganathar,NA,NA,NA,"Palsunai, Padma theertham, Sengothai Sunai, Kannimar Sunai, Pasumani Sunai",NA,500 1000 years old,NA,Perianaickenpalayam,Coimbatore,Tamil Nadu,Car festival is celebrated in the temple on Chitra Poornima day in April May.,All merciful Lord Ranganatha appears in a standing form facing east pleasing the mind of His devotees.,The temple is open during normal hours in morning and evening.,"Sri Ranganathar Temple, Palamalai, Perianaickenpalayam, Coimbatore.",+91 94433 48564
Perumal,sri Ooraga Perumal temple,Ooraga Perumal,NA,Thiruvirundavalli,NA,NA,Vaikanasa,500 1000 years old,NA,Kundrathur,Kanchipuram,Tamil Nadu,Aadi Pooram in July August; Navarathri in September October and Sri Hanuman Jayanthi are the festivals celebrated in the temple.,Lord Perumal in His standing form blesses the devotees from the sanctum sanctorum.,The temple is open from 9.00 a.m. to 12.00 a.m. and from 5.30 p.m. to 8.30 p.m.,"Sri Thiru Ooraga Perumal Temple, Kundrathur 600 069, Kancheepuram district.","+91  44   2478 0436, 98401 58781."
274 Sivalayam,sri Tirumettraleeswar temple,"Tirumettraleeswarar, Odhavurugeeswarar",Chandrasekharar,Parasakthi,Vilwa,Vishnu theertham,Shivagama,1000 2000 years old,Tirumettrali,Kancheepuram,Kanchipuram,Tamil Nadu,Maha Shivrathri in February March; Panguni Uthiram in March April; Skanda Sashti in October November and Tirugnana Sambandar Gurupuja Ambica feeding the child with wisdom milk are the festivals celebrated in the temple.,Lord Shiva as a swayambumurthy graces in the temple facing west. There are two presiding deities in two separate sanctum sanctorums.,The temple is open from 7.00 a.m. to 12.00 a.m. and from 5.00 p.m. to 9.00 p.m.,"Sri Tirumettraleeswarar Temple, Pillayarpalayam 631 501, Kancheepuram.","+91  98653   55572, +91  99945   85006."
274 Sivalayam,"sri Kachabeswarar, Marundeeswarar temple","Kachabeswarar, Marundeeswarar",Amirtha Thyagarajar,"Anjanakshi Amman, Irulneeki Ambal",Banyan and jack trees,NA,Kameekam,1000 2000 years old,"Nadana Vinodha Nallur, Aadhi Kanchi",Tirukachur,Chengalpattu,Tamil Nadu,"This is a twin temple, one at the hill top and the other at the foot hill. Chithirai Brahammotsavam and Chitra Poornima full moon day are celebrated in April May at Kachabeswarar temple. Masi Brahmmotsavam in February March; Girivalam on Poornima day and Padi Puja – puja to the steps  on Mondays and Tirukarthigai in November December are followed in Marundeesar temple.",Lord Shiva facing west is a swayambumurthy.,The temple is open from 8.00 a.m. to 12.00 a.m. and from 5.00 p.m. to 8.00 p.m.,"Sri Kachabeswarar, Marundeeswarar Temple, Tirukachur – 603 204, Kancheepuram district.","+91  44   2746 4325,2746 3514,2723 3384, 93811 86389"
108 Divya Desam,sri Vijaya Raghava Perumal temple,Vijaya Raghava Perumal,NA,Maragathavalli Thayar,Padhiri,Jatayu theertham,NA,500 1000 years old,Tiruputkuzhi,Tiruputkuzhi,Kanchipuram,Tamil Nadu,"Float festival in Thai month January February; Masi Brahmmotsavam in February March; Aavani Pavithra Utsav in August September, Purattasi Navarathri in September October and Tirukarthikai in November December are the festivals celebrated in the temple.","Lord Vijaya Raghava Perumal blesses the devotees with Jatayu on His lap. During all Perumal processions, due regard is offered to Jatayu also. As this is the place where Lord Rama performed the last rites for Jatayu the eagle who fought with Ravana to rescue Sita from him and sacrificed his life in the service of the Lord, as a mark of honour to him, the flag post and the Balipeeta are outside the temple.",The temple is open from 7.00 a.m. to 12.00 a.m. and from 4.00 p.m. to 7.00 p.m.,"Sri Vijaya Raghava Perumal Temple, Tiruputkuzhi, Kancheepuram district.",+91  44 2724 6501.
274 Sivalayam,sri Gnanapureeswarar temple,"Gnanapureeswarar, Idaisura Nathar",Chandrasekharar,"Imayamadakodi, Govaradhnambikai",Vilwa,Madhura Theertham,Shivagama,1000 2000 years old,Tiru Idaisuram,Tiruvadishoolam,Kanchipuram,Tamil Nadu,Chitra poornima in April May; Wedding festival along with Panguni Uthiram in March April and Bangle festival (Valaikappu) for Mother on Aadi Pooram in July August are the festivals celebrated in the temple.,Lord Shiva in the temple is a swayambumurthy shining as emerald.,The temple is open from 7.00 a.m. to 11.00 a.m. and from 4.30 p.m. to 6.30 p.m.,"Sri Gnanapureeswarar Temple, Tiruvadishoolam 603 108 (Tiru Idaisuram), Chengalpat.","+91  44   2742 0485, 94445   23890"
108 Divya Desam,sri Nitya Kalyana Perumal temple,"Nitya Kalyana Perumal, Lakshmi Varaha Perumal",Nityakalyana Perumal,Komalavalli Thayar,Punnai,"Varaha Theertham, Kalyana Theertham",vaikasanam,1000 2000 years old,Tiruvidandhai,Tiruvidandhai,Kanchipuram,Tamil Nadu,Vaikunda Ekadasi is very devotionally celebrated in the temple in December January.,"Of the celebrated 108 Divya Desas of Lord Vishnu, this is the only temple, where the Wedding Festival is celebrated throughout the year – all the 365 days of the year. Women facing delays in their wedding are advised to pray to Mother in the temple",The temple is open from 6.00 a.m. to 12.00 a.m. and from 3.00 p.m. to 8.00 p.m.,"Sri Nitya Kalyana Perumal Temple, Tiruvidandhai 603 112. (Near Kovalam on Pudurcheery Chennai East Coast Road), Kancheepuram district.","+91  44  2747 2235,98405 99310, 98409 36927"
108 Divya Desam,sri Azhagia Singa Perumal temple,"Mukunda Nayakan, Azhagia Singar",NA,Velukkai Valli,NA,"Kanaga Saras, Hema Saras",NA,500 1000 years old,Tiruvelukkai,Kancheepuram,Kanchipuram,Tamil Nadu,Vaikunda Ekadasi is devotionally celebrated in the temple in December January.,This is one of the celebrated 108 Divya Desas of Lord Vishnu.,The temple is open from 7.00 a.m. to 11.00 a.m. and from 5.00 p.m. to 7.30 p.m.,"Sri Azhagia Singa Perumal Temple, Kancheepuram 631 501.","+91  44 6727 1692, 98944 15456"
